Feature,Importance
num__data_compromised_records,0.09975051075187862
num__missingindicator_data_compromised_records,0.05790337469456596
cat__data_type_PII,0.025405743602372147
num__downtime_hours,0.016920532597867247
num__quality_score,0.013681426068624344
num__employee_count,0.013470082379012469
num__inflation_adjusted_usd,0.013430953319079017
num__recovery_cost_usd,0.013386710148157375
num__total_loss_lower_bound,0.012394045853441194
num__direct_loss_usd,0.012341444377520112
num__legal_fees_usd,0.012000861926561598
num__total_loss_upper_bound,0.011968121828801788
num__company_revenue_usd,0.011804943100434109
num__total_loss_usd,0.011410424888446144
num__missingindicator_regulatory_fine_usd,0.010194989710317579
num__insurance_payout_usd,0.009885393272037352
num__regulatory_fine_usd,0.00937545864837774
cat__attack_vector_primary_supply_chain,0.009044879994427152
num__ransom_demanded_usd,0.008174966654043847
cat__attack_vector_primary_ddos,0.007793701910587701
cat__data_type_mixed,0.007739043711537568
num__abnormal_return_7d,0.00709066744471874
cat__attack_vector_primary_backdoor,0.006450852960634236
num__car_0_to_7,0.0062837924227668
num__abnormal_return_1d,0.006152558720648902
num__volume_avg_30d_baseline,0.006080934500709593
num__volume_disclosure_day,0.006052219622102462
num__t_statistic_30d,0.0059196106518062215
num__t_statistic_1d,0.005914116272808638
num__sector_return_same_period,0.005888151630383522
num__abnormal_return_30d,0.005822784095169427
num__price_disclosure_day,0.005737242517729015
num__volume_ratio_disclosure,0.005618620862038805
num__price_7d_before,0.005570963369881353
num__car_0_to_30,0.0055509106890500115
num__price_30d_after,0.005537621998364752
num__market_cap_at_disclosure,0.005522636324138047
cat__attack_vector_primary_ransomware,0.0054843537046841435
num__car_neg1_to_pos1,0.005357204357022515
num__car_0_to_90,0.005298281319798462
num__price_1d_after,0.005232523525831153
num__price_7d_after,0.005143870697397653
cat__country_hq_US,0.004902986708283295
cat__attack_chain_Compromised third-party software update → trojanized DLL sideloaded → C2 beacon established → persistent access across customer environments,0.004568889514820875
num__days_to_price_recovery,0.004457825817517223
cat__data_type_credentials,0.004336896324746954
cat__data_type_financial,0.00429453096109991
cat__attributed_group_REvil,0.004246550701690017
num__p_value_1d,0.004038813919245297
cat__attack_chain_Phishing email with weaponized attachment → credential theft via Mimikatz → lateral movement via RDP/SMB → Active Directory compromise → ransomware deployment across domain-joined hosts,0.0040018456090963085
num__missingindicator_ransom_demanded_usd,0.004000988167835821
num__missingindicator_downtime_hours,0.003956978840361067
cat__direct_loss_method_calculated,0.0037753749884412643
cat__total_loss_method_estimated,0.0036936487555770696
cat__cpi_index_used_CPI-U 2025 (321.5),0.003640810262127089
cat__data_source_secondary_https://blog.talosintelligence.com/2021/12/charlotte-academy-ho-campaign.html,0.003628898051703043
cat__direct_loss_method_estimated,0.0036113824728715507
num__missingindicator_insurance_payout_usd,0.0036099980603613063
cat__quality_grade_Silver,0.0035572074207942794
cat__data_source_type_cybersecurity_firm,0.0034705913195161187
cat__data_source_type_verified_media,0.003462835287448501
cat__attack_chain_Multi-vector botnet activation → volumetric UDP reflection (900 Gbps peak) → application-layer HTTP/2 flood → 18-hour service degradation,0.003402856447735924
cat__attack_vector_secondary_phishing,0.003372699017203589
cat__attack_chain_Exploitation of unpatched VPN appliance → web shell implant → SSH backdoor installed → persistent access maintained for 6+ months → bulk data exfiltration,0.0033507265842792574
cat__total_loss_method_disclosed,0.0031895969867183037
cat__cpi_index_used_CPI-U 2021 (270.97),0.003106916210160264
cat__data_source_type_sec_filing,0.003030725239267329
cat__data_source_type_gdpr_notification,0.0030167602345646354
cat__quality_grade_Gold,0.002989876031420433
cat__total_loss_method_calculated,0.002916249049861322
cat__attack_vector_primary_malware,0.0028431587586947174
cat__notes_x_Initially reported as IT maintenance outage; later reclassified as security incident,0.002841684048454876
cat__industry_primary_52,0.0028095553160971507
cat__data_type_health,0.0027777906374056452
cat__cpi_index_used_CPI-U 2024 (314.69),0.0027680734180011643
cat__notes_y_Recovery includes infrastructure rebuild; company migrated to new cloud provider,0.002695586970990894
cat__industry_primary_62,0.002627825368656423
cat__attack_vector_primary_data_breach,0.0026229939619555635
cat__data_source_type_company_pr,0.0026047390305485407
cat__data_type_IP,0.0026042085949341837
cat__industry_secondary_62,0.002591713255020097
cat__industry_primary_51,0.0025783211102152347
cat__attack_vector_primary_phishing,0.0025721757826350517
cat__attack_chain_Trojanized installer via SEO-poisoned download → fileless PowerShell execution → registry run-key persistence → credential dumping via LSASS → data staged for exfil,0.0025347081830068446
cat__direct_loss_method_disclosed,0.0025117979914419906
cat__cpi_index_used_CPI-U 2023 (304.702),0.002482009902503234
cat__attack_chain_Spear-phishing campaign targeting finance team → credential harvesting through cloned SSO portal → email account compromise → BEC wire transfer or data exfiltration,0.0023800396699257486
num__p_value_30d,0.002362116736885143
cat__attack_vector_primary_apt,0.00235007256713647
cat__cpi_index_used_CPI-U 2022 (292.655),0.002306564913028956
cat__attack_chain_Misconfigured cloud storage bucket discovered by automated scanner → bulk data download over 72 hours → data posted to dark web marketplace,0.00227609586031714
cat__quality_grade_Bronze,0.002264204232278685
cat__industry_primary_44-45,0.0021842707678370707
cat__industry_primary_31-33,0.0020950962758332654
cat__attack_chain_Zero-day exploit in edge device → fileless implant in memory → scheduled task persistence → low-and-slow data staging → encrypted exfiltration over DNS tunneling,0.002042411891287185
cat__industry_primary_92,0.0019522427599869506
cat__stock_ticker_x_SNV.SW,0.001907523634044374
cat__is_public_company_True,0.0018719192896595473
cat__country_hq_GB,0.00166165838952544
cat__country_hq_DE,0.0015086026120533177
cat__ransom_source_congressional testimony,0.0014968488256754426
cat__country_hq_CA,0.0014107739125911694
cat__is_public_company_False,0.0013961354983263198
cat__sector_index_S&P 500 Industrials,0.001391052726509159
cat__industry_primary_61,0.001384372484014776
cat__country_hq_JP,0.0013397497965630864
cat__industry_primary_54,0.0013237606046296662
cat__sector_index_S&P 500 Health Care,0.001311248173749185
num__missingindicator_recovery_cost_usd,0.001248535324696834
cat__country_hq_FR,0.0012373688355893078
cat__attributed_group_Turla,0.0012315209847513111
num__missingindicator_total_loss_upper_bound,0.0012186451412834521
cat__country_hq_AU,0.0012137505580247672
num__missingindicator_days_to_price_recovery,0.0011793994592497281
cat__industry_primary_22,0.0011629961523898708
num__missingindicator_direct_loss_usd,0.0011627969968088323
num__missingindicator_legal_fees_usd,0.0011600381607294104
cat__country_hq_IL,0.0011222768060955867
cat__attack_vector_secondary_supply_chain,0.0011205997812387984
cat__attributed_group_Royal,0.001116546937033229
cat__industry_secondary_31-33,0.0010370917226820632
num__missingindicator_total_loss_usd,0.0010356311757940787
num__missingindicator_car_0_to_30,0.001022384308525958
num__missingindicator_price_1d_after,0.0010149466790357504
cat__industry_secondary_44-45,0.0009995149143253435
num__missingindicator_market_cap_at_disclosure,0.000991490998453736
cat__sector_index_S&P 500 Consumer Discretionary,0.0009907045788891948
cat__notes_Post-incident volatility spike consistent with uncertainty resolution over 14 trading days,0.000989732803329069
num__missingindicator_total_loss_lower_bound,0.0009822573508278597
num__missingindicator_p_value_30d,0.0009768122476452312
cat__sector_index_S&P 500,0.0009456840585243773
cat__country_hq_IN,0.0009436737791656215
cat__attack_vector_secondary_ddos,0.0009275648687109306
cat__attack_vector_secondary_malware,0.0009267162592912003
cat__earnings_announcement_within_7d_True,0.0009225674420739
cat__industry_secondary_51,0.0009141695818876551
num__missingindicator_volume_avg_30d_baseline,0.0009081180217545713
cat__attack_vector_primary_trojan,0.0009002617265133461
cat__sector_index_S&P 500 Information Technology,0.0008964424430248414
num__missingindicator_price_7d_after,0.0008682567442984014
cat__country_hq_IT,0.0008562865726443961
cat__attack_vector_secondary_data_breach,0.0008446944040063677
num__missingindicator_price_30d_after,0.0008444148212846446
"cat__notes_y_Loss methodology: Monte Carlo simulation with 10,000 iterations (95th percentile)",0.0008373568908133731
num__missingindicator_inflation_adjusted_usd,0.0008320795981724071
cat__country_hq_BR,0.0008219963264339285
num__missingindicator_volume_ratio_disclosure,0.0008217431737888737
cat__attributed_group_Medusa,0.0008178889597549764
cat__industry_primary_56,0.0008178384323515984
num__missingindicator_car_neg1_to_pos1,0.0008170138091126497
cat__notes_y_Business interruption losses estimated from quarterly revenue delta,0.0008061472128661573
cat__ransom_source_blockchain analysis,0.0007798243584243756
cat__attributed_group_Sandworm,0.0007794175271246266
cat__attack_vector_secondary_trojan,0.0007604471241709405
cat__industry_primary_48-49,0.000754366549923946
num__missingindicator_sector_return_same_period,0.000753451683642097
cat__attributed_group_Hunters_International,0.0007506913092432286
num__missingindicator_volume_disclosure_day,0.0007471170295986069
cat__notes_y_Legal fees reflect engagement of AmLaw 100 firm for class-action defense,0.000743988171358217
cat__stock_ticker_y_BZE.L,0.0007256832118130546
num__missingindicator_t_statistic_30d,0.0007176933121679068
num__missingindicator_car_0_to_7,0.0007159355695479163
num__missingindicator_abnormal_return_30d,0.000712405885480287
cat__earnings_announcement_within_7d_False,0.000711250745208967
num__missingindicator_abnormal_return_1d,0.0007060739822516226
cat__attack_chain_Drive-by download from compromised ad network → remote access trojan deployment → keylogger activation → credential theft → lateral movement to file servers,0.0007026193774987842
cat__attributed_group_APT28,0.0007002286146895135
cat__attributed_group_APT29,0.0006953177754341178
num__missingindicator_price_disclosure_day,0.0006724108267860448
cat__attributed_group_Scattered_Spider,0.0006696535128405128
num__missingindicator_price_7d_before,0.0006627620869514078
num__missingindicator_abnormal_return_7d,0.0006621650279142042
cat__industry_primary_21,0.0006483107792683475
cat__sector_index_S&P 500 Financials,0.0006451043635928237
cat__notes_x_Revenue estimated from Dun & Bradstreet industry median,0.0006392399020986135
cat__ransom_source_FBI disclosure,0.000633334591541858
num__missingindicator_car_0_to_90,0.0006228929184551885
cat__attributed_group_APT41,0.0006179485515835306
cat__attributed_group_Akira,0.0006129104110091796
cat__attributed_group_BlackSuit,0.0006117206512370318
cat__review_flag_large_breach_verify,0.0006018934850891811
cat__attributed_group_Cuba_Ransomware,0.0006016871071688024
cat__attributed_group_BianLian,0.0005823030889755064
cat__attack_vector_secondary_backdoor,0.000581673570025585
cat__country_hq_CH,0.0005806169409295993
cat__country_hq_MX,0.0005777769151592527
cat__attributed_group_Volt_Typhoon,0.0005738482561009946
cat__attributed_group_FIN7,0.0005730561184373541
cat__notes_x_Third-party managed service provider was initial entry point,0.0005701231309056251
cat__industry_primary_71,0.0005683595999578259
